system:index,Change Vec,Link,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,point_id,survey_d_1,survey_d_2,survey_d_3,survey_dat,.geo
1_LT05_189025_20090920_00000000000000000005,E20 E20 E20 B15,https://1drv.ms/i/s!AuR4bnS0n2fes6l2UZaBG9i3u8Pu5Q?e=Vk797c,0.04770271428571428,0.08050275,0.07749975,0.2999168690476191,0.2790757976190477,0.1443842023809524,48602992,1247122800000,1341212400000,1438326000000,1148454000000,"{""type"":""Polygon"",""coordinates"":[[[17.499643984025177,49.79277202253191],[17.499566112829868,49.792764859408535],[17.49949444024629,49.79274394022906],[17.499434671456545,49.79271093017648],[17.499391564066705,49.79266845687245],[17.49936854939814,49.79261990121186],[17.49936745936271,49.79256912823744],[17.499388380659994,49.792520179478586],[17.49942964789698,49.79247695124533],[17.499487976171363,49.79244288448566],[17.499558722559215,49.792420690892044],[17.499636255689637,49.792412137057454],[17.49971440398889,49.792417903859935],[17.499786946917894,49.792437532266874],[17.49984811010666,49.792469459872585],[17.49989302497945,49.79251114526088],[17.499918116288985,49.79255927029521],[17.499921386713446,49.79261000423597],[17.499902575860002,49.79265930866327],[17.499863181013026,49.792703258934615],[17.49980633796881,49.7927383565896],[17.499736571436657,49.79276180783317],[17.499659434871106,49.79277174592857],[17.499643984025177,49.79277202253191]]]}"
1_LT05_189025_20090920_0000000000000000000a,E20 B13 B21,https://1drv.ms/i/s!AuR4bnS0n2fes6lyU5p38n91Ynf_FQ?e=CEMjoT,0.08606537735849057,0.1371066745283019,0.15667889150943398,0.2622000235849057,0.290796391509434,0.22232165094339626,48963002,,1335855600000,1431414000000,1148454000000,"{""type"":""Polygon"",""coordinates"":[[[18.012008072369262,49.847966775371475],[18.01193011229017,49.847959612248026],[18.011858357898163,49.84793869306842],[18.011798520887425,49.847905683015675],[18.011755364294455,49.84786320971146],[18.0117323233571,49.84781465405077],[18.01173123207806,49.847763881076354],[18.011752177255683,49.84771493231759],[18.011793491595906,49.84767170408449],[18.011851886446916,49.847637637325015],[18.011922713585307,49.847615443731534],[18.01200033521256,49.84760688989702],[18.012078572710788,49.84761265669945],[18.012151198440876,49.84763228510626],[18.01221243144202,49.847664212711784],[18.01225739758145,49.84770589809992],[18.01228251753099,49.84775402313412],[18.012285791688925,49.84780475707487],[18.01226695936503,49.847854061502254],[18.012227519552518,49.84789801177377],[18.01217061162685,49.84793310942893],[18.012100765461906,49.84795656067266],[18.012023540851114,49.84796649876813],[18.012008072369262,49.847966775371475]]]}"
1_LT05_189025_20100822_00000000000000000000,E20 E20 E20 B14,https://1drv.ms/i/s!AuR4bnS0n2fes6oTswjXvyT1j1AR-w?e=2btkJW,0.0437013679245283,0.0842253419811321,0.07978759433962265,0.37997785377358495,0.2787424410377359,0.13484103773584905,48503016,1246950000000,1337151600000,1432710000000,1145602800000,"{""type"":""Polygon"",""coordinates"":[[[17.394458249275434,50.01639594036222],[17.394380016254935,50.016388777238625],[17.394308010648277,50.0163678580586],[17.394247964146743,50.0163348480053],[17.394204656462406,50.01629237470058],[17.394181534859737,50.01624381903957],[17.394180439761843,50.01619304606513],[17.394201458270434,50.01614409730665],[17.39424291725374,50.01610086907407],[17.394301516546072,50.016066802315144],[17.394372591650555,50.01604460872211],[17.394450485030966,50.01603605488776],[17.39452899643848,50.01604182169007],[17.394601876431423,50.016061450096494],[17.39466332381011,50.016093377701466],[17.394708447377468,50.016135063089074],[17.39473365527383,50.016183188122945],[17.394736940896387,50.016233922063634],[17.394718042641703,50.01628322649128],[17.394678464750527,50.01632717676328],[17.39462135758904,50.016362274419],[17.394551266890332,50.01638572566319],[17.39447377191308,50.01639566375888],[17.394458249275434,50.01639594036222]]]}"
1_LT05_189025_20100822_0000000000000000000c,E20 B13 B13 B16,https://1drv.ms/i/s!AuR4bnS0n2fes6l06k-PpQ1Q-TVqzA?e=FqF8BV,0.06424398104265404,0.10472515402843599,0.1230980213270142,0.235437345971564,0.31338120853080575,0.20937646919431277,48902988,1241593200000,1336374000000,1433142000000,1148367600000,"{""type"":""Polygon"",""coordinates"":[[[17.908342891078757,49.7287705451118],[17.908265122605602,49.72876338198848],[17.908193544567276,49.72874246280916],[17.908133854619898,49.72870945275679],[17.908090804093664,49.72866697945295],[17.908067819783685,49.72861842379247],[17.908066731185492,49.72856765081807],[17.908087624884494,49.72851870205909],[17.908128837684703,49.72847547382566],[17.9081870890171,49.72844140706577],[17.908257742082306,49.728419213472],[17.908335172937758,49.72841065963734],[17.90841321815058,49.728416426439864],[17.90848566538714,49.72843605484695],[17.9085467478944,49.72846798245288],[17.9085916035188,49.72850966784137],[17.90861666172934,49.72855779287582],[17.908619927839062,49.7286085268166],[17.908601141798833,49.7286578312438],[17.908561798918104,49.72870178151497],[17.90850503085677,49.72873687916974],[17.908435356355493,49.728760330413145],[17.90835832154302,49.72877026850846],[17.908342891078757,49.7287705451118]]]}"
1_LT05_189025_20100822_00000000000000000005,E20 E20 E20 B15,https://1drv.ms/i/s!AuR4bnS0n2fes6l2UZaBG9i3u8Pu5Q?e=Vk797c,0.03704790476190476,0.07814338095238096,0.05951291666666666,0.36786491666666676,0.24942700000000004,0.11187435714285714,48602992,1247122800000,1341212400000,1438326000000,1148454000000,"{""type"":""Polygon"",""coordinates"":[[[17.499643984025177,49.79277202253191],[17.499566112829868,49.792764859408535],[17.49949444024629,49.79274394022906],[17.499434671456545,49.79271093017648],[17.499391564066705,49.79266845687245],[17.49936854939814,49.79261990121186],[17.49936745936271,49.79256912823744],[17.499388380659994,49.792520179478586],[17.49942964789698,49.79247695124533],[17.499487976171363,49.79244288448566],[17.499558722559215,49.792420690892044],[17.499636255689637,49.792412137057454],[17.49971440398889,49.792417903859935],[17.499786946917894,49.792437532266874],[17.49984811010666,49.792469459872585],[17.49989302497945,49.79251114526088],[17.499918116288985,49.79255927029521],[17.499921386713446,49.79261000423597],[17.499902575860002,49.79265930866327],[17.499863181013026,49.792703258934615],[17.49980633796881,49.7927383565896],[17.499736571436657,49.79276180783317],[17.499659434871106,49.79277174592857],[17.499643984025177,49.79277202253191]]]}"
1_LT05_189025_20100822_0000000000000000000a,E20 B13 B21,https://1drv.ms/i/s!AuR4bnS0n2fes6lyU5p38n91Ynf_FQ?e=CEMjoT,0.07426658018867927,0.10958851415094341,0.12137719339622642,0.31210240566037734,0.25993516509433967,0.20293077830188683,48963002,,1335855600000,1431414000000,1148454000000,"{""type"":""Polygon"",""coordinates"":[[[18.012008072369262,49.847966775371475],[18.01193011229017,49.847959612248026],[18.011858357898163,49.84793869306842],[18.011798520887425,49.847905683015675],[18.011755364294455,49.84786320971146],[18.0117323233571,49.84781465405077],[18.01173123207806,49.847763881076354],[18.011752177255683,49.84771493231759],[18.011793491595906,49.84767170408449],[18.011851886446916,49.847637637325015],[18.011922713585307,49.847615443731534],[18.01200033521256,49.84760688989702],[18.012078572710788,49.84761265669945],[18.012151198440876,49.84763228510626],[18.01221243144202,49.847664212711784],[18.01225739758145,49.84770589809992],[18.01228251753099,49.84775402313412],[18.012285791688925,49.84780475707487],[18.01226695936503,49.847854061502254],[18.012227519552518,49.84789801177377],[18.01217061162685,49.84793310942893],[18.012100765461906,49.84795656067266],[18.012023540851114,49.84796649876813],[18.012008072369262,49.847966775371475]]]}"
1_LT05_189025_20100923_00000000000000000000,E20 E20 E20 B14,https://1drv.ms/i/s!AuR4bnS0n2fes6oTswjXvyT1j1AR-w?e=2btkJW,0.045716650943396234,0.08125676886792453,0.062177476415094336,0.3771893278301887,0.24984266509433967,0.11369353773584907,48503016,1246950000000,1337151600000,1432710000000,1145602800000,"{""type"":""Polygon"",""coordinates"":[[[17.394458249275434,50.01639594036222],[17.394380016254935,50.016388777238625],[17.394308010648277,50.0163678580586],[17.394247964146743,50.0163348480053],[17.394204656462406,50.01629237470058],[17.394181534859737,50.01624381903957],[17.394180439761843,50.01619304606513],[17.394201458270434,50.01614409730665],[17.39424291725374,50.01610086907407],[17.394301516546072,50.016066802315144],[17.394372591650555,50.01604460872211],[17.394450485030966,50.01603605488776],[17.39452899643848,50.01604182169007],[17.394601876431423,50.016061450096494],[17.39466332381011,50.016093377701466],[17.394708447377468,50.016135063089074],[17.39473365527383,50.016183188122945],[17.394736940896387,50.016233922063634],[17.394718042641703,50.01628322649128],[17.394678464750527,50.01632717676328],[17.39462135758904,50.016362274419],[17.394551266890332,50.01638572566319],[17.39447377191308,50.01639566375888],[17.394458249275434,50.01639594036222]]]}"
1_LT05_189025_20100923_0000000000000000000c,E20 B13 B13 B16,https://1drv.ms/i/s!AuR4bnS0n2fes6l06k-PpQ1Q-TVqzA?e=FqF8BV,0.054176635071090065,0.09544774881516588,0.09119749999999999,0.2579926895734597,0.2700670142180095,0.15222534360189577,48902988,1241593200000,1336374000000,1433142000000,1148367600000,"{""type"":""Polygon"",""coordinates"":[[[17.908342891078757,49.7287705451118],[17.908265122605602,49.72876338198848],[17.908193544567276,49.72874246280916],[17.908133854619898,49.72870945275679],[17.908090804093664,49.72866697945295],[17.908067819783685,49.72861842379247],[17.908066731185492,49.72856765081807],[17.908087624884494,49.72851870205909],[17.908128837684703,49.72847547382566],[17.9081870890171,49.72844140706577],[17.908257742082306,49.728419213472],[17.908335172937758,49.72841065963734],[17.90841321815058,49.728416426439864],[17.90848566538714,49.72843605484695],[17.9085467478944,49.72846798245288],[17.9085916035188,49.72850966784137],[17.90861666172934,49.72855779287582],[17.908619927839062,49.7286085268166],[17.908601141798833,49.7286578312438],[17.908561798918104,49.72870178151497],[17.90850503085677,49.72873687916974],[17.908435356355493,49.728760330413145],[17.90835832154302,49.72877026850846],[17.908342891078757,49.7287705451118]]]}"
1_LT05_189025_20100923_00000000000000000005,E20 E20 E20 B15,https://1drv.ms/i/s!AuR4bnS0n2fes6l2UZaBG9i3u8Pu5Q?e=Vk797c,0.038921964285714275,0.08090228571428572,0.0642805,0.3843721190476191,0.2560093214285714,0.1161517857142857,48602992,1247122800000,1341212400000,1438326000000,1148454000000,"{""type"":""Polygon"",""coordinates"":[[[17.499643984025177,49.79277202253191],[17.499566112829868,49.792764859408535],[17.49949444024629,49.79274394022906],[17.499434671456545,49.79271093017648],[17.499391564066705,49.79266845687245],[17.49936854939814,49.79261990121186],[17.49936745936271,49.79256912823744],[17.499388380659994,49.792520179478586],[17.49942964789698,49.79247695124533],[17.499487976171363,49.79244288448566],[17.499558722559215,49.792420690892044],[17.499636255689637,49.792412137057454],[17.49971440398889,49.792417903859935],[17.499786946917894,49.792437532266874],[17.49984811010666,49.792469459872585],[17.49989302497945,49.79251114526088],[17.499918116288985,49.79255927029521],[17.499921386713446,49.79261000423597],[17.499902575860002,49.79265930866327],[17.499863181013026,49.792703258934615],[17.49980633796881,49.7927383565896],[17.499736571436657,49.79276180783317],[17.499659434871106,49.79277174592857],[17.499643984025177,49.79277202253191]]]}"
1_LT05_189025_20100923_0000000000000000000a,E20 B13 B21,https://1drv.ms/i/s!AuR4bnS0n2fes6lyU5p38n91Ynf_FQ?e=CEMjoT,0.06664752358490568,0.11951290094339621,0.12224110849056603,0.2748531367924528,0.26697101415094343,0.19226752358490568,48963002,,1335855600000,1431414000000,1148454000000,"{""type"":""Polygon"",""coordinates"":[[[18.012008072369262,49.847966775371475],[18.01193011229017,49.847959612248026],[18.011858357898163,49.84793869306842],[18.011798520887425,49.847905683015675],[18.011755364294455,49.84786320971146],[18.0117323233571,49.84781465405077],[18.01173123207806,49.847763881076354],[18.011752177255683,49.84771493231759],[18.011793491595906,49.84767170408449],[18.011851886446916,49.847637637325015],[18.011922713585307,49.847615443731534],[18.01200033521256,49.84760688989702],[18.012078572710788,49.84761265669945],[18.012151198440876,49.84763228510626],[18.01221243144202,49.847664212711784],[18.01225739758145,49.84770589809992],[18.01228251753099,49.84775402313412],[18.012285791688925,49.84780475707487],[18.01226695936503,49.847854061502254],[18.012227519552518,49.84789801177377],[18.01217061162685,49.84793310942893],[18.012100765461906,49.84795656067266],[18.012023540851114,49.84796649876813],[18.012008072369262,49.847966775371475]]]}"
1_LT05_189025_20101009_00000000000000000000,E20 E20 E20 B14,https://1drv.ms/i/s!AuR4bnS0n2fes6oTswjXvyT1j1AR-w?e=2btkJW,0.039205636792452835,0.07564404481132077,0.06062904481132077,0.40139360849056605,0.2480057429245283,0.10753262971698112,48503016,1246950000000,1337151600000,1432710000000,1145602800000,"{""type"":""Polygon"",""coordinates"":[[[17.394458249275434,50.01639594036222],[17.394380016254935,50.016388777238625],[17.394308010648277,50.0163678580586],[17.394247964146743,50.0163348480053],[17.394204656462406,50.01629237470058],[17.394181534859737,50.01624381903957],[17.394180439761843,50.01619304606513],[17.394201458270434,50.01614409730665],[17.39424291725374,50.01610086907407],[17.394301516546072,50.016066802315144],[17.394372591650555,50.01604460872211],[17.394450485030966,50.01603605488776],[17.39452899643848,50.01604182169007],[17.394601876431423,50.016061450096494],[17.39466332381011,50.016093377701466],[17.394708447377468,50.016135063089074],[17.39473365527383,50.016183188122945],[17.394736940896387,50.016233922063634],[17.394718042641703,50.01628322649128],[17.394678464750527,50.01632717676328],[17.39462135758904,50.016362274419],[17.394551266890332,50.01638572566319],[17.39447377191308,50.01639566375888],[17.394458249275434,50.01639594036222]]]}"
1_LT05_189025_20101009_0000000000000000000c,E20 B13 B13 B16,https://1drv.ms/i/s!AuR4bnS0n2fes6l06k-PpQ1Q-TVqzA?e=FqF8BV,0.06062584123222747,0.0742661018957346,0.07083055687203794,0.25231765402843603,0.17695123222748815,0.08535055687203791,48902988,1241593200000,1336374000000,1433142000000,1148367600000,"{""type"":""Polygon"",""coordinates"":[[[17.908342891078757,49.7287705451118],[17.908265122605602,49.72876338198848],[17.908193544567276,49.72874246280916],[17.908133854619898,49.72870945275679],[17.908090804093664,49.72866697945295],[17.908067819783685,49.72861842379247],[17.908066731185492,49.72856765081807],[17.908087624884494,49.72851870205909],[17.908128837684703,49.72847547382566],[17.9081870890171,49.72844140706577],[17.908257742082306,49.728419213472],[17.908335172937758,49.72841065963734],[17.90841321815058,49.728416426439864],[17.90848566538714,49.72843605484695],[17.9085467478944,49.72846798245288],[17.9085916035188,49.72850966784137],[17.90861666172934,49.72855779287582],[17.908619927839062,49.7286085268166],[17.908601141798833,49.7286578312438],[17.908561798918104,49.72870178151497],[17.90850503085677,49.72873687916974],[17.908435356355493,49.728760330413145],[17.90835832154302,49.72877026850846],[17.908342891078757,49.7287705451118]]]}"
1_LT05_189025_20101009_00000000000000000005,E20 E20 E20 B15,https://1drv.ms/i/s!AuR4bnS0n2fes6l2UZaBG9i3u8Pu5Q?e=Vk797c,0.06815302380952382,0.10512075000000001,0.09082153571428568,0.36766416666666674,0.2651560833333334,0.13278889285714288,48602992,1247122800000,1341212400000,1438326000000,1148454000000,"{""type"":""Polygon"",""coordinates"":[[[17.499643984025177,49.79277202253191],[17.499566112829868,49.792764859408535],[17.49949444024629,49.79274394022906],[17.499434671456545,49.79271093017648],[17.499391564066705,49.79266845687245],[17.49936854939814,49.79261990121186],[17.49936745936271,49.79256912823744],[17.499388380659994,49.792520179478586],[17.49942964789698,49.79247695124533],[17.499487976171363,49.79244288448566],[17.499558722559215,49.792420690892044],[17.499636255689637,49.792412137057454],[17.49971440398889,49.792417903859935],[17.499786946917894,49.792437532266874],[17.49984811010666,49.792469459872585],[17.49989302497945,49.79251114526088],[17.499918116288985,49.79255927029521],[17.499921386713446,49.79261000423597],[17.499902575860002,49.79265930866327],[17.499863181013026,49.792703258934615],[17.49980633796881,49.7927383565896],[17.499736571436657,49.79276180783317],[17.499659434871106,49.79277174592857],[17.499643984025177,49.79277202253191]]]}"
